Food Code,Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg)
15-887,Tofu burger,73.5,1.18,7.3,4.0,13.2,115.0,483.0,11.1,0.0,2.6,0.6,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-888,Tofu spread,69.6,0.71,4.4,20.1,2.4,208.0,858.0,0.3,0.0,2.3,0.6,0.0,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.01,13.8
13-382,Tomato juice,93.8,0.13,0.8,0.0,3.0,14.0,62.0,0.0,0.0,3.0,1.4,0.0,1.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-709,Tomato ketchup,68.0,0.26,1.6,0.1,28.6,115.0,489.0,1.1,0.0,27.5,5.9,0.0,6.4,15.2,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-531,Tomato puree,72.5,0.71,4.4,0.2,12.9,67.0,287.0,0.0,0.0,12.9,5.5,0.0,7.4,0.0,0.0,0.0,0.0,3.0,4.7,29.28,0.04,0.0,0.05,0.0,0.02,15.25,0.02,0.0,0.02,52.32,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-1173,Tomato sauce,80.3,0.36,2.2,5.5,8.6,89.0,374.0,4.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0
13-517,Tomatoes,85.0125,0.1788,1.0875,4.4625,6.7375,69.625,291.625,2.425,0.025,4.7375,1.975,0.0,2.15,0.575,0.0,0.0,0.0,1.2375,1.0875,0.0,0.5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4025,0.0,0.0,0.0,1.2775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-423,Tongue,58.94,2.818,17.62,19.66,0.0,247.4,1026.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.6
17-736,Tonic water,94.1,0.0,0.0,0.0,5.9,22.0,94.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-670,Topic/Snickers and own brand equivalents,5.4,1.39,7.5,28.2,52.1,479.0,2005.0,6.1,0.0,46.1,4.8,0.0,0.1,31.0,4.4,5.8,0.0,2.4,2.8,0.0,9.15,0.0,2.03,0.0,0.05,0.0,15.58,0.0,15.61,0.0,2.08,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.03,4.5
